,Shipment Number,ATF Port Dep 1 Date,ATF Port Dep 1 Yr/Week,Operational plan Port Dep 1 Yr/Week,FFE,TON,Booking Create Date,Booking Status,Receipt Service Mode,Delivery Service Mode,Cargo Type,Container Type,Container Size,String,String Direction,POR Site Code,POR Country Code,POR Cluster Code,POR Region Code,POD Country Code,POD Cluster Code,POD Region Code,LOPFI Site Code,LOPFI Country Code,LOPFI Region Code,LOPFI Cluster Code,DIPLA Site Code,DIPLA Country Code,DIPLA Cluster Code,DIPLA Region Code,Est Trans days,Atf Trans days
6451,552018024,9/7/2010,2010/36,2010/36,5,4456,08/11/2010,Active,CY,CY,DRY,DRY,20,FEANAM811,,HKHKGMO ,HK,PRS,NAS,US,USC,NAM,HKHKGMO,HK,NAS,PRS,USLSATM,US,USC,NAM,61.0,37.0
6452,552018028,9/6/2010,2010/36,2010/36,1,11681,08/11/2010,Active,CY,CY,DRY,DRY,45,FEANAM621,E  ,HKHKGMO ,HK,PRS,NAS,US,USC,NAM,HKHKGMO,HK,NAS,PRS,USLSATM,US,USC,NAM,84.0,42.0
6453,552018038,9/6/2010,2010/36,2010/36,1,6048,08/11/2010,Active,CY,CY,DRY,DRY,40,FEANAM621,E  ,HKHKGMO ,HK,PRS,NAS,US,USC,NAM,HKHKGMO,HK,NAS,PRS,USLSATM,US,USC,NAM,65.0,35.0
6454,552018043,9/5/2010,2010/35,2010/35,5,11468,08/11/2010,Active,SD,CY,DRY,DRY,20,OCEEUR888,S  ,        ,DE,DEC,NEU,NZ,NZC,APA,NLROT01,NL,NEU,NLC,NZAKLTM,NZ,NZC,APA,87.0,88.0
6455,552018044,9/27/2010,2010/39,2010/39,21,508213,08/11/2010,Active,SD,CY,DRY,DRY,40,FEAEUR680,E  ,        ,GB,GBC,NEU,HK,PRS,NAS,GBFXSTM,GB,NEU,GBC,HKHKGMO,HK,PRS,NAS,1177.0,1222.0
6456,552018104,9/4/2010,2010/35,2010/35,1,19842,08/11/2010,Active,CY,CY,DRY,DRY,40,SAFFEA160,W  ,CNNPOTM ,CN,PRE,NAS,ZA,SAF,AFR,CNNPOTM,CN,NAS,PRE,ZADUR04,ZA,SAF,AFR,105.0,102.0
6457,552018136,9/4/2010,2010/35,2010/35,1,20662,08/11/2010,Active,CY,CY,DRY,DRY,40,SAFEUR278,N  ,ZACPT04 ,ZA,SAF,AFR,DK,SCA,NEU,ZACPT04,ZA,AFR,SAF,DKCPHTM,DK,SCA,NEU,70.0,48.0
6458,552018171,9/21/2010,2010/38,2010/38,1,40863,08/11/2010,Active,CY,CY,DRY,DRY,40,FEAEUR401,E  ,GBFXSTM ,GB,GBC,NEU,KR,KRC,NAS,GBFXSTM,GB,NEU,GBC,KRBUSPN,KR,KRC,NAS,56.0,42.0
6459,552018171,9/21/2010,2010/38,2010/38,2,20641,08/11/2010,Active,CY,CY,DRY,FLAT,40,FEAEUR401,E  ,GBFXSTM ,GB,GBC,NEU,KR,KRC,NAS,GBFXSTM,GB,NEU,GBC,KRBUSPN,KR,KRC,NAS,258.0,238.0
6460,552018187,9/2/2010,2010/35,2010/35,75,251985,08/11/2010,Active,CY,CY,DRY,DRY,20,FEAEUR419,W  ,JPYOKMY ,JP,JPC,NAS,IT,ITC,MED,JPYOKMY,JP,NAS,JPC,ITADITM,IT,ITC,MED,975.0,780.0
6461,552018203,9/5/2010,2010/35,2010/35,1,21184,08/11/2010,Active,CY,CY,DRY,DRY,40,FEAEUR401,E  ,NLROT01 ,NL,NLC,NEU,KR,KRC,NAS,NLROT01,NL,NEU,NLC,KRBUSPN,KR,KRC,NAS,65.0,45.0
6462,552018281,9/10/2010,2010/36,2010/36,1,13466,08/11/2010,Active,CY,CY,REEF,REEF,40,NEUCAN888,W  ,DEBRVTM ,DE,DEC,NEU,CA,USC,NAM,DEBRVTM,DE,NEU,DEC,CAMONCT,CA,USC,NAM,37.0,38.0
6463,552018306,9/7/2010,2010/36,2010/36,5,6987,08/11/2010,Active,CY,CY,REEF,REEF,20,AUSNEA080,N  ,AUSYD11 ,AU,AUC,APA,JP,JPC,NAS,AUSYD11,AU,APA,AUC,JPYOKMY,JP,JPC,NAS,79.0,61.0
6464,552018311,9/4/2010,2010/35,2010/35,1,3501,08/11/2010,Active,SD,CY,DRY,DRY,20,MEAMED888,E  ,        ,FR,FRC,NEU,JO,JOC,WCA,FRFSMTM,FR,NEU,FRC,JOAHZTM,JO,JOC,WCA,100.0,107.0
